86 338
57 6 9.95
45 79 8.89
64 12 -3.04
76 28 -4.34
84 38 -2.25
83 34 8.58
0 84 -4.01
59 67 -2.18
61 77 8.65
5 80 8.82
8 48 -1.57
1 10 -4.68
83 47 9.72
55 8 6.99
37 30 -1.88
10 29 7.00
85 7 -4.04
30 48 6.16
53 14 -3.50
40 37 -4.12
59 64 -3.35
78 0 6.98
42 17 -3.89
15 31 -4.77
4 15 7.33
75 18 -4.94
47 11 -3.51
10 38 -1.32
39 57 -1.66
40 70 -4.13
20 50 9.59
67 72 -2.72
28 9 6.32
54 39 7.09
22 51 6.69
18 46 8.29
36 32 8.43
68 19 -3.16
30 16 9.18
36 45 6.91
24 8 6.73
48 10 -4.56
13 5 -3.20
59 11 -1.19
77 5 -1.69
34 36 6.42
78 32 8.32
51 38 -4.96
70 51 -2.19
16 2 -1.29
18 63 7.14
81 75 9.93
74 84 6.08
17 25 9.00
76 72 -3.92
20 3 8.89
48 84 6.36
60 46 -1.61
6 24 -4.69
13 0 8.99
53 83 -3.73
44 29 8.24
21 73 8.15
29 49 -1.83
61 57 6.17
74 6 9.30
56 2 8.60
46 61 -4.95
58 13 -2.22
33 47 7.97
21 35 9.26
5 22 7.60
19 65 8.27
3 8 9.15
18 32 9.14
85 71 -4.31
13 39 9.68
1 57 6.24
59 44 -1.88
3 41 -1.15
35 4 -3.28
78 72 9.65
84 39 9.93
32 2 9.94
38 69 6.48
8 83 -3.73
66 1 -4.06
79 82 6.94
41 36 6.93
39 68 -4.16
12 65 7.24
43 72 -2.54
33 58 9.33
65 64 -4.38
70 3 -4.33
5 19 7.72
24 6 9.50
16 28 -1.49
80 61 -2.14
45 76 6.03
79 26 6.40
13 67 8.72
50 51 7.94
17 37 9.52
70 72 -3.29
56 55 -1.39
74 52 -3.74
46 56 7.73
46 83 -3.20
61 30 7.37
4 83 -4.91
23 27 -2.31
27 48 9.18
9 54 6.34
14 67 8.90
10 17 8.06
53 28 -1.45
30 66 7.86
27 35 9.84
62 50 -1.12
42 47 9.38
41 52 6.60
69 64 7.03
67 41 -4.79
42 59 6.97
66 6 -2.44
84 32 -3.54
5 16 7.63
8 7 -1.18
43 20 -1.70
59 61 -4.93
7 3 9.55
59 37 9.67
82 63 6.21
30 34 9.86
12 43 7.02
32 49 -1.81
16 13 -1.52
76 47 6.96
69 1 9.96
52 39 8.80
77 80 -2.40
24 73 6.85
50 13 6.74
57 25 -3.92
52 81 7.19
14 6 6.22
84 1 -4.01
38 58 8.09
11 21 8.10
51 83 -1.43
7 42 7.28
77 50 -1.89
34 68 8.61
8 56 -2.40
79 73 6.12
44 82 6.21
56 35 6.66
11 65 9.66
63 51 -4.10
9 64 7.50
17 36 9.46
34 17 9.19
82 59 -4.63
66 0 9.24
0
41 5 78 83 69 52
5
29 38 38 19 72
